loadgenname,scenariotime,usercount,hitcount,avgrequestresponse,avgthroughput,errorcount,avgpageresponse
'',00:00:05,0,16,398.864,1.153,0,6381.818
'',00:00:10,0,12,293.762,1.011,0,1762.572
'',00:00:15,0,17,243.814,1.165,0,2072.418
'',00:00:20,0,20,356.964,1.766,0,3569.643
'',00:00:25,0,13,299.751,1.060,0,1948.383
'',00:00:30,0,25,253.994,1.303,0,3174.923
'',00:00:35,0,22,312.443,1.950,0,3436.878
'',00:00:40,0,11,357.092,1.383,0,1964.008
'',00:00:45,0,27,268.127,1.798,0,3619.713
'',00:00:50,0,22,306.227,1.803,0,3368.500
'',00:00:55,0,13,263.741,0.840,0,1714.316
'',00:01:00,0,21,261.186,1.166,0,2742.451
'',00:01:05,0,20,338.389,1.765,0,3383.891
'',00:01:10,0,13,300.364,1.127,0,1952.365
'',00:01:15,0,16,271.583,0.745,0,2172.665
'',00:01:20,0,24,278.269,1.559,0,3339.225
'',00:01:25,0,8,479.107,1.238,0,3832.856
'',00:01:30,0,15,261.540,0.425,0,1961.548
'',00:01:35,0,23,309.911,1.799,0,3563.972
'',00:01:40,0,20,278.848,1.428,0,2788.477
'',00:01:45,0,16,227.945,0.500,0,1823.560
'',00:01:50,0,23,298.916,1.408,0,3437.531
'',00:01:55,0,6,571.711,0.910,0,3430.267
'',00:02:00,0,20,237.433,1.167,0,2374.333
