loadgenname,scenariotime,usercount,hitcount,avgrequestresponse,avgthroughput,errorcount,avgpageresponse
'',00:00:05,0,5,1703.906,0.159,0,8519.529
'',00:00:10,0,0,0.000,0.000,0,0.000
'',00:00:15,0,2,1877.162,0.036,0,3754.325
'',00:00:20,0,2,1938.096,0.414,0,3876.191
'',00:00:25,0,2,2163.549,1.113,0,4327.098
'',00:00:30,0,0,0.000,0.000,0,0.000
'',00:00:35,0,1,2323.735,0.069,0,2323.735
'',00:00:40,0,1,1399.737,0.000,0,1399.737
'',00:00:45,0,2,1387.124,0.297,0,2774.247
'',00:00:50,0,0,0.000,0.000,0,0.000
'',00:00:55,0,0,0.000,0.000,0,0.000
'',00:01:00,0,0,0.000,0.000,0,0.000
'',00:01:05,0,0,0.000,0.000,0,0.000
'',00:01:10,0,2,1888.243,2.272,0,3776.486
'',00:01:15,0,0,0.000,0.000,0,0.000
'',00:01:20,0,2,1525.415,0.000,0,3050.830
'',00:01:25,0,1,849.471,0.001,0,849.471
'',00:01:30,0,1,4242.269,0.356,0,4242.269
'',00:01:35,0,1,858.406,0.000,0,858.406
'',00:01:40,0,0,0.000,0.000,0,0.000
'',00:01:45,0,3,1846.569,0.282,1,5539.707
'',00:01:50,0,0,0.000,0.000,0,0.000
'',00:01:54,0,3,1250.906,0.001,0,1876.360
