loadgenname,scenariotime,usercount,hitcount,avgrequestresponse,avgthroughput,errorcount,avgpageresponse
'',00:00:05,0,79,260.778,4.453,0,10300.718
'',00:00:10,0,112,244.518,6.551,0,13692.985
'',00:00:15,0,110,251.708,6.358,0,13843.957
'',00:00:20,0,113,252.595,7.201,0,14271.641
'',00:00:25,0,111,236.950,6.410,0,13150.701
'',00:00:30,0,109,246.061,6.545,0,13410.325
'',00:00:35,0,111,248.451,6.552,0,13789.013
'',00:00:40,0,108,231.952,5.944,0,12525.388
'',00:00:45,0,110,243.143,6.590,0,13372.862
'',00:00:50,0,108,247.031,6.283,0,13339.686
'',00:00:55,0,112,244.493,6.514,0,13691.598
'',00:01:00,0,113,243.503,6.735,0,13757.919
'',00:01:05,0,111,229.888,5.752,0,12758.787
'',00:01:10,0,114,244.586,6.463,0,13941.423
'',00:01:15,0,99,230.605,5.101,0,11414.965
'',00:01:20,0,128,238.981,6.327,0,15294.791
'',00:01:25,0,113,280.527,6.893,0,15849.753
'',00:01:30,0,111,237.731,6.365,0,13194.072
'',00:01:35,0,106,248.199,6.746,0,13154.570
'',00:01:40,0,114,235.220,6.178,0,13407.564
'',00:01:45,0,67,226.140,3.745,0,7575.689
'',00:01:45,0,1,2797.516,0.345,0,2797.516
