loadgenname,scenariotime,usercount,hitcount,avgrequestresponse,avgthroughput,errorcount,avgpageresponse
'',00:00:05,0,42,125.245,0.850,0,751.468
'',00:00:10,0,46,148.918,0.890,0,978.604
'',00:00:15,0,49,169.115,1.076,0,1183.803
'',00:00:20,0,15,166.267,0.438,0,356.286
'',00:00:25,0,40,217.150,0.683,0,1240.856
'',00:00:30,0,42,310.380,0.829,0,1862.277
'',00:00:35,0,65,199.922,1.520,0,1856.414
'',00:00:40,0,16,232.208,0.443,0,530.761
'',00:00:45,0,53,224.007,1.128,0,1696.050
'',00:00:47,0,30,125.835,0.439,0,539.292
