loadgenname,scenariotime,usercount,hitcount,avgrequestresponse,avgthroughput,errorcount,avgpageresponse
'',00:00:05,0,5,1483.583,0.159,0,7417.914
'',00:00:10,0,0,0.000,0.000,0,0.000
'',00:00:15,0,2,2251.964,0.036,0,4503.927
'',00:00:20,0,2,1875.891,0.414,0,3751.782
'',00:00:25,0,0,0.000,0.000,0,0.000
'',00:00:30,0,1,1079.493,0.022,0,1079.493
'',00:00:35,0,2,1491.680,0.069,0,2983.360
'',00:00:40,0,0,0.000,0.000,0,0.000
'',00:00:45,0,2,1354.673,0.297,0,2709.346
'',00:00:50,0,0,0.000,0.000,0,0.000
'',00:00:55,0,0,0.000,0.000,0,0.000
'',00:01:00,0,0,0.000,0.000,0,0.000
'',00:01:05,0,1,20525.347,0.000,0,20525.347
'',00:01:10,0,0,0.000,0.000,0,0.000
'',00:01:15,0,3,1617.532,3.363,0,4852.597
'',00:01:20,0,0,0.000,0.000,0,0.000
'',00:01:25,0,2,1415.374,0.000,0,2830.749
'',00:01:30,0,2,1785.439,0.331,0,3570.878
'',00:01:35,0,0,0.000,0.000,0,0.000
'',00:01:40,0,2,2384.432,0.281,0,4768.864
'',00:01:45,0,0,0.000,0.000,0,0.000
'',00:01:50,0,1,3620.287,0.280,0,3620.287
'',00:01:55,0,1,5425.969,0.289,0,5425.969
'',00:02:00,0,0,0.000,0.000,0,0.000
'',00:02:04,0,4,1404.316,0.036,0,2808.631
