loadgenname,scenariotime,usercount,hitcount,avgrequestresponse,avgthroughput,errorcount,avgpageresponse
'',00:00:05,0,4,835.570,0.032,0,3342.282
'',00:00:10,0,1,1338.041,0.000,0,1338.041
'',00:00:15,0,0,0.000,0.000,0,0.000
'',00:00:20,0,0,0.000,0.000,0,0.000
'',00:00:25,0,0,0.000,0.000,0,0.000
'',00:00:30,0,0,0.000,0.000,0,0.000
'',00:00:35,0,0,0.000,0.000,0,0.000
'',00:00:40,0,1,23381.701,0.015,0,23381.701
'',00:00:45,0,0,0.000,0.000,0,0.000
'',00:00:50,0,9,17804.294,0.132,0,53412.883
'',00:00:55,0,5,7505.769,0.073,0,18764.423
'',00:01:00,0,10,2465.377,0.100,0,8217.924
'',00:01:05,0,2,8893.867,0.007,0,8893.867
'',00:01:10,0,4,13827.967,0.212,0,27655.934
'',00:01:15,0,3,10811.936,0.172,0,32435.809
'',00:01:20,0,9,6031.065,0.201,0,13569.895
'',00:01:23,0,26,7232.548,0.941,0,37609.249
