loadgenname,scenariotime,usercount,hitcount,avgrequestresponse,avgthroughput,errorcount,avgpageresponse
'',00:00:05,0,18,374.906,1.157,0,6748.306
'',00:00:10,0,8,354.911,0.704,0,1419.645
'',00:00:15,0,21,327.020,1.503,0,3433.708
'',00:00:20,0,8,415.187,1.296,0,3321.496
'',00:00:25,0,15,236.133,0.488,0,1771.001
'',00:00:30,0,19,418.352,1.756,0,3974.345
'',00:00:35,0,14,227.542,0.553,0,1592.792
'',00:00:40,0,25,283.507,1.478,0,3543.833
'',00:00:45,0,22,310.159,2.361,0,3411.745
'',00:00:50,0,12,320.720,1.308,0,1924.321
'',00:00:55,0,25,249.821,1.303,0,3122.760
'',00:01:00,0,22,299.533,1.724,0,3294.862
