loadgenname,scenariotime,usercount,hitcount,avgrequestresponse,avgthroughput,errorcount,avgpageresponse
'',00:00:05,0,83,228.080,5.669,0,9465.311
'',00:00:10,0,286,259.581,15.310,0,37120.085
'',00:00:15,0,258,367.945,13.450,0,47464.882
'',00:00:20,0,223,460.152,10.648,0,51306.967
'',00:00:25,0,170,872.421,10.467,0,74155.802
'',00:00:30,0,167,1121.666,6.863,0,93659.098
'',00:00:35,0,200,1081.931,14.573,0,108193.065
'',00:00:40,0,247,401.742,6.451,0,49615.186
'',00:00:45,0,127,740.670,22.741,0,47032.522
'',00:00:50,0,129,617.882,8.168,0,39853.401
'',00:00:55,0,183,530.748,0.708,0,48563.471
'',00:01:00,0,171,418.056,5.024,0,35743.785
'',00:01:05,0,131,651.112,11.566,0,42647.822
'',00:01:10,0,164,516.839,4.998,0,42380.759
'',00:01:15,0,183,785.598,1.508,0,71882.229
'',00:01:20,0,154,540.752,11.248,0,41637.900
'',00:01:25,0,106,712.571,8.863,0,37766.256
'',00:01:30,0,106,1892.927,3.851,0,100325.106
'',00:01:35,0,235,2039.981,5.259,0,239697.735
'',00:01:40,0,240,740.569,7.340,0,88868.239
'',00:01:45,0,126,556.239,14.138,0,35043.046
'',00:01:50,0,137,693.604,14.287,0,47511.842
'',00:01:55,0,164,588.389,5.629,0,48247.901
'',00:02:00,0,148,460.278,2.954,0,34060.571
'',00:02:05,0,143,1094.167,2.709,0,78232.907
'',00:02:10,0,201,428.975,4.857,0,43111.977
'',00:02:15,0,148,612.961,18.919,0,45359.142
'',00:02:15,0,5,1339.243,1.610,0,6696.214
