loadgenname,scenariotime,usercount,hitcount,avgrequestresponse,avgthroughput,errorcount,avgpageresponse
'',00:00:05,0,23,231.737,1.167,0,2664.980
'',00:00:10,0,34,217.532,1.788,0,3698.052
'',00:00:15,0,32,186.276,0.989,0,2980.418
'',00:00:20,0,29,201.329,1.121,0,2919.277
'',00:00:25,0,30,190.420,1.121,0,2856.295
'',00:00:30,0,34,203.665,1.955,0,3462.310
'',00:00:35,0,35,220.290,1.936,0,3855.079
'',00:00:40,0,36,209.930,1.920,0,3778.743
'',00:00:45,0,33,230.955,1.931,0,3810.755
'',00:00:50,0,33,225.024,1.913,0,3712.891
'',00:00:55,0,36,208.414,1.956,0,3751.460
'',00:01:00,0,33,217.265,1.913,0,3584.871
'',00:01:03,0,8,354.638,0.664,0,1418.552
