Thread ID,Total Thread,Active Threads,User ID,Iteration Number,RequestId,Timestamp,Status,Type,Request
11,38,2,1,1,566666816,2017-12-16 02:16:50.442848,Before Request, Sequential,http://chatbot.vectoroncology.com/main/logout
11,37,1,1,1,566666816,2017-12-16 02:16:51.133899,After Request, Sequential,http://chatbot.vectoroncology.com/main/logout
11,37,1,1,1,566666817,2017-12-16 02:16:51.139900,Before Request, Sequential,http://chatbot.vectoroncology.com/main/login
11,37,1,1,1,566666817,2017-12-16 02:16:51.809615,After Request, Sequential,http://chatbot.vectoroncology.com/main/login
21,34,2,1,1,566666797,2017-12-16 02:18:17.493343,Before Request, Sequential,http://chatbot.vectoroncology.com/
21,35,1,1,1,566666797,2017-12-16 02:18:18.193547,After Request, Sequential,http://chatbot.vectoroncology.com/
21,35,2,1,1,566666800,2017-12-16 02:18:18.213545,Before Request, Sequential,http://chatbot.vectoroncology.com/main/login
21,35,1,1,1,566666800,2017-12-16 02:18:18.848699,After Request, Sequential,http://chatbot.vectoroncology.com/main/login
21,35,1,1,1,566666802,2017-12-16 02:18:18.857695,Before Request, Sequential,http://chatbot.vectoroncology.com/favicon.ico
21,35,1,1,1,566666802,2017-12-16 02:18:18.866695,After Request, Sequential,http://chatbot.vectoroncology.com/favicon.ico
21,35,1,1,1,566666803,2017-12-16 02:18:18.876708,Before Request, Sequential,http://chatbot.vectoroncology.com/favicon.ico
21,35,1,1,1,566666803,2017-12-16 02:18:18.889724,After Request, Sequential,http://chatbot.vectoroncology.com/favicon.ico
21,36,2,1,1,566666804,2017-12-16 02:18:18.901722,Before Request, Sequential,http://chatbot.vectoroncology.com/main/loginSubmit
21,36,1,1,1,566666804,2017-12-16 02:18:19.598960,After Request, Sequential,http://chatbot.vectoroncology.com/main/loginSubmit
21,36,1,1,1,566666805,2017-12-16 02:18:19.609959,Before Request, Sequential,http://chatbot.vectoroncology.com/
21,36,1,1,1,566666805,2017-12-16 02:18:20.272825,After Request, Sequential,http://chatbot.vectoroncology.com/
21,36,1,1,1,566666806,2017-12-16 02:18:20.279324,Before Request, Sequential,http://chatbot.vectoroncology.com/main/patientView
21,36,1,1,1,566666806,2017-12-16 02:18:20.944172,After Request, Sequential,http://chatbot.vectoroncology.com/main/patientView
21,36,1,1,1,566666808,2017-12-16 02:18:20.950162,Before Request, Sequential,http://chatbot.vectoroncology.com/main/ajaxGetPatientAppts
21,36,2,1,1,566666808,2017-12-16 02:18:21.296791,After Request, Sequential,http://chatbot.vectoroncology.com/main/ajaxGetPatientAppts
21,36,1,1,1,566666809,2017-12-16 02:18:21.306792,Before Request, Sequential,http://chatbot.vectoroncology.com/main/ajaxGetAvailableAppts
21,36,1,1,1,566666809,2017-12-16 02:18:21.775432,After Request, Sequential,http://chatbot.vectoroncology.com/main/ajaxGetAvailableAppts
23,36,2,1,1,566666797,2017-12-16 02:19:46.617130,Before Request, Sequential,http://chatbot.vectoroncology.com/
23,37,1,1,1,566666797,2017-12-16 02:19:47.314162,After Request, Sequential,http://chatbot.vectoroncology.com/
23,37,1,1,1,566666800,2017-12-16 02:19:47.329187,Before Request, Sequential,http://chatbot.vectoroncology.com/main/login
23,37,1,1,1,566666800,2017-12-16 02:19:47.987202,After Request, Sequential,http://chatbot.vectoroncology.com/main/login
23,37,1,1,1,566666802,2017-12-16 02:19:47.997203,Before Request, Sequential,http://chatbot.vectoroncology.com/favicon.ico
23,37,1,1,1,566666802,2017-12-16 02:19:48.004208,After Request, Sequential,http://chatbot.vectoroncology.com/favicon.ico
23,37,1,1,1,566666803,2017-12-16 02:19:48.011199,Before Request, Sequential,http://chatbot.vectoroncology.com/favicon.ico
23,37,1,1,1,566666803,2017-12-16 02:19:48.024204,After Request, Sequential,http://chatbot.vectoroncology.com/favicon.ico
23,37,1,1,1,566666804,2017-12-16 02:19:48.031201,Before Request, Sequential,http://chatbot.vectoroncology.com/main/loginSubmit
23,37,1,1,1,566666804,2017-12-16 02:19:48.684380,After Request, Sequential,http://chatbot.vectoroncology.com/main/loginSubmit
23,37,1,1,1,566666805,2017-12-16 02:19:48.691386,Before Request, Sequential,http://chatbot.vectoroncology.com/
23,37,1,1,1,566666805,2017-12-16 02:19:49.362529,After Request, Sequential,http://chatbot.vectoroncology.com/
23,37,1,1,1,566666806,2017-12-16 02:19:49.368530,Before Request, Sequential,http://chatbot.vectoroncology.com/main/patientView
23,37,1,1,1,566666806,2017-12-16 02:19:50.035524,After Request, Sequential,http://chatbot.vectoroncology.com/main/patientView
23,37,1,1,1,566666808,2017-12-16 02:19:50.043525,Before Request, Sequential,http://chatbot.vectoroncology.com/main/ajaxGetPatientAppts
23,37,1,1,1,566666808,2017-12-16 02:19:50.415139,After Request, Sequential,http://chatbot.vectoroncology.com/main/ajaxGetPatientAppts
23,37,1,1,1,566666809,2017-12-16 02:19:50.426140,Before Request, Sequential,http://chatbot.vectoroncology.com/main/ajaxGetAvailableAppts
23,37,2,1,1,566666809,2017-12-16 02:19:50.873824,After Request, Sequential,http://chatbot.vectoroncology.com/main/ajaxGetAvailableAppts
23,37,1,1,1,566666810,2017-12-16 02:19:50.882823,Before Request, Sequential,http://chatbot.vectoroncology.com/main/appointmentView
23,37,1,1,1,566666810,2017-12-16 02:19:51.567162,After Request, Sequential,http://chatbot.vectoroncology.com/main/appointmentView
23,37,1,1,1,566666813,2017-12-16 02:19:51.574163,Before Request, Sequential,http://chatbot.vectoroncology.com/main/ajaxUpdateAppt
23,37,1,1,1,566666813,2017-12-16 02:19:51.580162,After Request, Sequential,http://chatbot.vectoroncology.com/main/ajaxUpdateAppt
23,37,1,1,1,566666816,2017-12-16 02:19:51.589161,Before Request, Sequential,http://chatbot.vectoroncology.com/main/logout
23,37,1,1,1,566666816,2017-12-16 02:19:51.958748,After Request, Sequential,http://chatbot.vectoroncology.com/main/logout
23,37,1,1,1,566666817,2017-12-16 02:19:51.967748,Before Request, Sequential,http://chatbot.vectoroncology.com/main/login
23,37,1,1,1,566666817,2017-12-16 02:19:52.661980,After Request, Sequential,http://chatbot.vectoroncology.com/main/login
