loadgenname,scenariotime,usercount,hitcount,avgrequestresponse,avgthroughput,errorcount,avgpageresponse
'',00:00:05,0,59,245.656,3.295,0,7246.848
'',00:00:10,0,186,245.324,10.519,0,22815.146
'',00:00:15,0,256,286.912,13.400,0,36724.791
'',00:00:20,0,289,337.580,17.913,0,48780.299
'',00:00:25,0,252,449.928,16.095,0,56690.906
'',00:00:30,0,239,541.582,14.593,0,64719.087
'',00:00:35,0,214,614.172,12.692,0,65716.400
'',00:00:40,0,205,689.029,11.136,0,70625.455
'',00:00:45,0,226,699.115,12.480,0,79000.024
'',00:00:50,0,171,947.762,10.407,0,81033.652
'',00:00:55,0,224,875.955,11.611,0,98106.915
'',00:01:00,0,125,473.588,5.529,0,29599.258
'',00:01:05,0,137,612.123,8.876,0,41930.411
'',00:01:10,0,136,606.815,11.092,0,41263.435
'',00:01:15,0,113,838.021,13.402,0,47348.170
'',00:01:20,0,141,749.300,15.548,0,52825.664
'',00:01:25,0,130,752.194,8.308,0,48892.596
'',00:01:30,0,120,627.246,7.519,0,37634.785
'',00:01:35,0,124,781.821,9.407,0,48472.884
'',00:01:40,0,133,807.010,7.747,0,53666.151
'',00:01:45,0,78,607.546,7.476,0,23694.285
'',00:01:50,0,89,636.972,3.243,0,28345.257
'',00:01:55,0,130,800.224,4.504,0,52014.531
'',00:02:00,0,95,559.946,2.880,0,26597.433
'',00:02:05,0,112,791.054,5.125,0,44299.024
'',00:02:10,0,110,664.206,2.351,0,36531.330
'',00:02:15,0,103,512.340,4.847,0,26385.496
'',00:02:20,0,114,562.286,2.157,0,32050.321
'',00:02:25,0,111,608.856,6.250,0,33791.504
'',00:02:30,0,112,580.631,4.864,0,32515.329
'',00:02:35,0,114,613.800,7.003,0,34986.586
'',00:02:40,0,109,642.177,7.458,0,34998.661
'',00:02:45,0,117,561.819,7.336,0,32866.416
'',00:02:50,0,105,557.801,5.679,0,29284.569
'',00:02:55,0,95,585.030,8.454,0,27788.948
'',00:03:00,0,106,781.215,5.267,0,41404.391
'',00:03:05,0,117,555.560,9.432,0,32500.279
'',00:03:10,0,103,538.668,5.008,0,27741.412
'',00:03:15,0,138,617.483,7.874,0,42606.356
'',00:03:20,0,153,515.011,6.751,0,39398.305
'',00:03:25,0,127,1292.748,6.840,0,82089.474
'',00:03:30,0,281,606.850,10.270,0,85262.423
'',00:03:35,0,191,557.547,17.626,0,53245.708
'',00:03:40,0,238,248.612,12.669,0,29584.853
'',00:03:45,0,121,235.085,7.204,0,14222.665
'',00:03:46,0,8,239.852,0.384,0,959.408
