loadgenname,scenariotime,usercount,hitcount,avgrequestresponse,avgthroughput,errorcount,avgpageresponse
'',00:00:05,0,69,231.831,3.472,0,7998.158
'',00:00:10,0,268,254.897,13.540,0,34156.192
'',00:00:15,0,270,353.771,12.180,0,47759.117
'',00:00:20,0,212,458.731,14.218,0,48625.434
'',00:00:25,0,159,521.844,14.171,0,41486.617
'',00:00:30,0,166,547.586,5.728,0,45449.678
'',00:00:35,0,163,463.315,5.428,0,37760.195
'',00:00:40,0,119,556.288,9.248,0,33099.114
'',00:00:45,0,151,1542.670,4.247,0,116471.571
'',00:00:50,0,227,1522.395,5.540,0,172791.884
'',00:00:55,0,211,700.886,7.768,0,73943.428
'',00:01:00,0,169,1106.963,11.765,0,93538.382
'',00:01:05,0,187,941.446,8.614,0,88025.208
'',00:01:10,0,200,959.741,7.219,0,95974.067
'',00:01:15,0,228,839.913,12.211,0,95750.128
'',00:01:20,0,155,776.574,8.423,0,60184.449
'',00:01:25,0,150,1174.731,7.757,0,88104.846
'',00:01:30,0,180,956.328,9.371,0,86069.544
'',00:01:35,0,196,752.212,8.340,0,73716.799
'',00:01:40,0,189,485.023,10.470,0,45834.699
'',00:01:45,0,132,549.808,17.361,0,36287.316
'',00:01:50,0,112,784.723,7.467,0,43944.477
'',00:01:55,0,247,1190.746,3.450,0,147057.072
'',00:02:00,0,209,665.791,6.809,0,69575.172
'',00:02:05,0,236,879.336,11.525,0,103761.609
'',00:02:10,0,152,483.919,16.383,0,36777.824
