RequestedAt, User, Iteration, Parameter, Value
2017-05-24 15:43:16.3881096,2,1,myTest.search,books
2017-05-24 15:43:16.3881096,2,1,CurrentDate,2017-05-24 03:43:16
2017-05-24 15:43:16.4181096,5,1,myTest.search,c#code
2017-05-24 15:43:16.4181096,5,1,CurrentDate,2017-05-24 03:43:16
2017-05-24 15:43:16.4181096,1,1,myTest.search,gst
2017-05-24 15:43:16.4181096,1,1,CurrentDate,2017-05-24 03:43:16
2017-05-24 15:43:16.4281096,3,1,myTest.search,code
2017-05-24 15:43:16.4281096,3,1,CurrentDate,2017-05-24 03:43:16
2017-05-24 15:43:16.5681098,4,1,myTest.search,niagra
2017-05-24 15:43:16.5681098,4,1,CurrentDate,2017-05-24 03:43:16
