loadgenname,scenariotime,usercount,hitcount,avgrequestresponse,avgthroughput,errorcount,avgpageresponse
'',00:00:05,0,8,246.093,0.370,0,984.373
'',00:00:10,0,28,201.172,1.792,0,2816.409
'',00:00:15,0,27,215.194,1.117,0,2905.117
'',00:00:20,0,28,203.109,0.984,0,2843.525
'',00:00:25,0,27,210.573,0.982,0,2842.732
'',00:00:30,0,31,180.449,1.142,0,2796.956
'',00:00:35,0,29,191.649,1.128,0,2778.904
'',00:00:40,0,28,203.905,1.117,0,2854.669
'',00:00:45,0,0,0.000,0.000,0,0.000
'',00:00:50,0,24,494.396,0.974,0,5932.755
'',00:00:55,0,34,230.493,1.915,0,3918.387
'',00:01:00,0,33,235.057,1.913,0,3878.442
'',00:01:05,0,4,125.669,0.142,0,251.339
'',00:01:10,0,0,0.000,0.000,0,0.000
'',00:01:15,0,0,0.000,0.000,0,0.000
'',00:01:20,0,0,0.000,0.000,0,0.000
'',00:01:25,0,0,0.000,0.000,0,0.000
'',00:01:30,0,0,0.000,0.000,0,0.000
'',00:01:35,0,1,1130.135,0.285,0,1130.135
'',00:01:40,0,0,0.000,0.000,0,0.000
'',00:01:45,0,0,0.000,0.000,0,0.000
'',00:01:50,0,0,0.000,0.000,0,0.000
'',00:01:55,0,0,0.000,0.000,0,0.000
'',00:02:00,0,0,0.000,0.000,0,0.000
'',00:02:05,0,0,0.000,0.000,0,0.000
'',00:02:10,0,0,0.000,0.000,0,0.000
'',00:02:12,0,1,1930.223,0.241,0,1930.223
