loadgenname,scenariotime,usercount,hitcount,avgrequestresponse,avgthroughput,errorcount,avgpageresponse
'',00:00:05,0,5,1762.886,0.159,0,8814.428
'',00:00:10,0,0,0.000,0.000,0,0.000
'',00:00:15,0,2,2166.156,0.036,0,4332.311
'',00:00:20,0,0,0.000,0.000,0,0.000
'',00:00:25,0,2,2349.515,1.119,0,4699.030
'',00:00:30,0,0,0.000,0.000,0,0.000
'',00:00:35,0,2,1404.040,0.069,0,2808.080
'',00:00:40,0,1,1459.136,0.000,0,1459.136
'',00:00:45,0,2,1432.502,0.297,0,2865.005
'',00:00:50,0,0,0.000,0.000,0,0.000
'',00:00:55,0,0,0.000,0.000,0,0.000
'',00:01:00,0,0,0.000,0.000,0,0.000
'',00:01:05,0,1,21187.102,0.000,0,21187.102
'',00:01:10,0,0,0.000,0.000,0,0.000
'',00:01:15,0,3,1600.332,3.363,0,4800.996
'',00:01:20,0,1,571.912,0.000,0,571.912
'',00:01:25,0,1,2544.559,0.000,0,2544.559
'',00:01:30,0,2,2144.652,0.331,0,4289.303
'',00:01:35,0,0,0.000,0.000,0,0.000
'',00:01:40,0,2,2208.520,0.281,0,4417.040
'',00:01:45,0,1,860.415,0.001,1,860.415
'',00:01:50,0,1,3881.021,0.280,0,3881.021
'',00:01:55,0,0,0.000,0.000,0,0.000
'',00:01:58,0,4,1325.410,0.201,2,5301.639
