loadgenname,scenariotime,usercount,hitcount,avgrequestresponse,avgthroughput,errorcount,avgpageresponse
'',00:00:05,0,61,289.567,3.171,0,17663.598
'',00:00:10,0,174,258.340,9.037,0,22475.547
'',00:00:15,0,265,284.955,15.268,0,37756.579
'',00:00:20,0,292,328.351,16.262,0,47939.187
'',00:00:25,0,217,496.770,14.156,0,53899.597
'',00:00:30,0,255,455.985,11.586,0,58138.122
'',00:00:35,0,202,712.007,12.569,0,71912.750
'',00:00:40,0,186,863.488,13.629,0,80304.376
'',00:00:45,0,226,684.451,10.945,0,77342.909
'',00:00:50,0,231,659.180,10.698,0,76135.339
'',00:00:55,0,140,410.870,7.365,0,28760.884
'',00:01:00,0,92,1138.079,6.792,0,52351.623
'',00:01:05,0,153,877.536,9.538,0,67131.471
'',00:01:10,0,104,640.281,4.856,0,33294.587
'',00:01:15,0,130,829.969,11.576,0,53948.000
'',00:01:20,0,144,616.628,11.486,0,44397.202
'',00:01:25,0,150,868.124,10.222,0,65109.323
'',00:01:30,0,101,613.994,8.890,0,31006.710
'',00:01:35,0,126,627.372,3.659,0,39524.457
'',00:01:40,0,110,706.318,3.291,0,38847.491
'',00:01:45,0,131,949.527,5.769,0,62194.043
'',00:01:50,0,95,925.904,6.473,0,43980.447
'',00:01:55,0,137,750.786,3.353,0,51428.858
'',00:02:00,0,32,634.755,0.795,0,10156.078
'',00:02:01,0,36,585.723,2.281,0,10543.021
