loadgenname,scenariotime,usercount,hitcount,avgrequestresponse,avgthroughput,errorcount,avgpageresponse
'',00:00:05,0,0,0.000,0.000,0,0.000
'',00:00:10,0,1,5900.270,0.006,0,5900.270
'',00:00:15,0,4,5296.810,0.022,0,21187.239
'',00:00:20,0,9,6182.959,0.066,0,27823.316
'',00:00:25,0,43,1738.848,1.064,0,10681.496
'',00:00:30,0,6,4126.632,0.202,0,6189.949
'',00:00:35,0,3,14272.930,0.030,0,14272.930
'',00:00:40,0,2,5979.374,0.021,0,5979.374
'',00:00:45,0,0,0.000,0.000,0,0.000
'',00:00:50,0,8,10842.819,0.106,0,21685.639
'',00:00:51,0,12,142.631,0.409,0,342.315
