loadgenname,scenariotime,usercount,hitcount,avgrequestresponse,avgthroughput,errorcount,avgpageresponse
'',00:00:05,0,64,133.795,1.333,0,1223.270
'',00:00:10,0,119,195.681,2.530,0,3326.573
'',00:00:15,0,182,232.908,2.860,0,6055.601
'',00:00:20,0,171,303.583,2.873,0,7416.108
'',00:00:25,0,170,300.651,2.684,0,7301.529
'',00:00:30,0,145,238.390,1.969,0,4938.073
'',00:00:35,0,57,333.160,0.950,0,2712.875
'',00:00:40,0,7,148.282,0.043,0,207.595
'',00:00:45,0,0,0.000,0.000,0,0.000
'',00:00:50,0,7,21357.266,0.000,0,29900.173
'',00:00:55,0,0,0.000,0.000,0,0.000
'',00:01:00,0,3,21413.799,0.000,0,21413.799
'',00:01:05,0,0,0.000,0.000,0,0.000
'',00:01:10,0,5,25222.108,0.000,0,42036.847
'',00:01:15,0,0,0.000,0.000,0,0.000
'',00:01:20,0,2,42058.709,0.000,0,84117.417
'',00:01:25,0,14,1382.781,0.129,0,3871.786
'',00:01:30,0,58,479.108,1.225,0,3969.753
'',00:01:35,0,34,3976.489,0.772,0,19314.373
'',00:01:40,0,109,1201.651,1.736,0,18711.426
'',00:01:45,0,152,294.148,2.371,0,6387.222
'',00:01:50,0,32,535.865,0.546,0,2449.670
'',00:01:55,0,28,347.916,0.556,0,1391.665
'',00:02:00,0,0,0.000,0.000,0,0.000
'',00:02:05,0,4,19172.231,0.000,0,19172.231
'',00:02:10,0,1,20996.449,0.000,0,20996.449
'',00:02:15,0,3,31142.300,0.000,0,46713.449
'',00:02:20,0,0,0.000,0.000,0,0.000
'',00:02:25,0,0,0.000,0.000,0,0.000
'',00:02:30,0,2,42013.861,0.000,0,84027.723
'',00:02:35,0,1,21005.109,0.000,0,21005.109
'',00:02:40,0,4,9833.614,0.042,0,9833.614
'',00:02:45,0,3,13096.853,0.022,0,19645.279
'',00:02:50,0,29,8973.210,0.974,0,43370.514
'',00:02:55,0,0,0.000,0.000,0,0.000
'',00:03:00,0,14,7594.863,0.404,0,15189.727
'',00:03:05,0,0,0.000,0.000,0,0.000
'',00:03:10,0,0,0.000,0.000,0,0.000
'',00:03:15,0,0,0.000,0.000,0,0.000
'',00:03:20,0,0,0.000,0.000,0,0.000
'',00:03:25,0,0,0.000,0.000,0,0.000
'',00:03:27,0,3,57592.005,0.168,0,57592.005
