loadgenname,scenariotime,usercount,hitcount,avgrequestresponse,avgthroughput,errorcount,avgpageresponse
'',00:00:05,0,7,292.753,0.346,0,2049.269
'',00:00:10,0,35,212.921,1.919,0,3726.126
'',00:00:15,0,35,226.896,1.918,0,3970.682
'',00:00:20,0,34,220.751,1.934,0,3752.769
'',00:00:25,0,36,216.049,1.920,0,3888.882
'',00:00:30,0,35,209.685,1.918,0,3669.487
'',00:00:35,0,35,224.095,1.784,0,3921.658
'',00:00:40,0,35,213.912,1.130,0,3743.452
'',00:00:45,0,29,191.311,0.986,0,2774.003
'',00:00:50,0,31,177.172,1.123,0,2746.162
'',00:00:53,0,10,266.101,0.544,0,1330.503
