loadgenname,scenariotime,usercount,hitcount,avgrequestresponse,avgthroughput,errorcount,avgpageresponse
'',00:00:05,0,43,171.469,0.866,0,1053.310
'',00:00:10,0,52,162.758,1.107,0,1209.061
'',00:00:15,0,11,247.940,0.257,0,545.469
'',00:00:20,0,9,610.904,0.067,0,2749.069
'',00:00:25,0,2,4782.790,0.018,0,9565.580
'',00:00:30,0,43,235.899,0.767,0,1449.092
'',00:00:35,0,52,143.079,1.273,0,1062.871
'',00:00:40,0,10,5033.030,0.244,0,8388.384
'',00:00:45,0,1,2590.960,0.000,0,2590.960
'',00:00:50,0,0,0.000,0.000,0,0.000
'',00:00:55,0,0,0.000,0.000,0,0.000
'',00:01:00,0,0,0.000,0.000,0,0.000
'',00:01:05,0,0,0.000,0.000,0,0.000
'',00:01:10,0,0,0.000,0.000,0,0.000
'',00:01:15,0,0,0.000,0.000,0,0.000
'',00:01:20,0,0,0.000,0.000,0,0.000
'',00:01:25,0,0,0.000,0.000,0,0.000
'',00:01:30,0,0,0.000,0.000,0,0.000
'',00:01:35,0,1,15281.734,0.006,0,15281.734
'',00:01:40,0,1,4789.579,0.026,0,4789.579
'',00:01:45,0,1,3617.698,0.006,0,3617.698
'',00:01:50,0,3,32789.817,0.066,0,49184.726
'',00:01:53,0,3,27381.596,0.024,0,27381.596
