loadgenname,scenariotime,usercount,hitcount,avgrequestresponse,avgthroughput,errorcount,avgpageresponse
'',00:00:05,0,19,362.019,1.160,0,6878.366
'',00:00:10,0,9,342.901,0.904,0,1543.056
'',00:00:15,0,15,221.372,0.489,0,1660.292
'',00:00:20,0,22,322.975,1.959,0,3552.720
'',00:00:25,0,16,285.883,1.188,0,2287.061
'',00:00:30,0,15,238.999,0.582,0,1792.491
'',00:00:35,0,23,296.752,1.425,0,3412.653
'',00:00:40,0,19,297.598,1.231,0,2827.181
'',00:00:45,0,13,224.623,0.649,0,1460.047
'',00:00:50,0,25,277.360,1.370,0,3467.002
'',00:00:55,0,19,339.676,1.787,0,3226.925
'',00:01:00,0,15,259.089,1.010,0,1943.165
'',00:01:00,0,7,398.976,1.073,0,1396.416
