loadgenname,scenariotime,usercount,hitcount,avgrequestresponse,avgthroughput,errorcount,avgpageresponse
'',00:00:05,0,37,109.427,0.812,0,578.397
'',00:00:10,0,51,111.454,1.104,0,812.025
'',00:00:15,0,51,107.593,1.081,0,783.892
'',00:00:20,0,17,117.847,0.447,0,286.200
'',00:00:25,0,34,179.840,0.641,0,873.506
'',00:00:30,0,49,186.134,1.067,0,1302.939
'',00:00:35,0,53,197.238,1.114,0,1493.373
'',00:00:40,0,48,164.769,0.920,0,1129.842
'',00:00:45,0,53,123.119,1.120,0,932.185
'',00:00:50,0,46,179.667,0.853,0,1180.670
'',00:00:55,0,56,52.529,0.538,0,420.230
'',00:01:00,0,54,7.255,0.052,0,55.969
'',00:01:05,0,40,5.025,0.007,0,28.713
'',00:01:05,0,13,15.544,0.000,0,28.868
