loadgenname,scenariotime,usercount,hitcount,avgrequestresponse,avgthroughput,errorcount,avgpageresponse
'',00:00:05,0,4,814.136,0.318,0,3256.544
'',00:00:07,0,7,381.021,0.548,0,1333.574
