RequestedAt, User, Iteration, Parameter, Value
2017-05-24 09:07:45.6991630,1,1,myTest.search,books
2017-05-24 09:07:45.6991630,1,1,myTest.search1,book
2017-05-24 09:07:46.7382224,1,1,myTest.search,books
2017-05-24 09:07:46.7382224,1,1,myTest.search1,book
2017-05-24 09:07:47.8162840,1,1,myTest.search,books
2017-05-24 09:07:47.8162840,1,1,myTest.search1,book
2017-05-24 09:07:51.9635213,1,2,myTest.search,c#code
2017-05-24 09:07:51.9635213,1,2,myTest.search1,learngo
2017-05-24 09:07:53.5836139,1,2,myTest.search,c#code
2017-05-24 09:07:53.5836139,1,2,myTest.search1,learngo
2017-05-24 09:07:55.4637215,1,2,myTest.search,c#code
2017-05-24 09:07:55.4637215,1,2,myTest.search1,learngo
2017-05-24 09:08:00.4600072,1,3,myTest.search,gst
2017-05-24 09:08:00.4600072,1,3,myTest.search1,gst
2017-05-24 09:08:01.5130675,1,3,myTest.search,gst
2017-05-24 09:08:01.5130675,1,3,myTest.search1,gst
2017-05-24 09:08:02.6711337,1,3,myTest.search,gst
2017-05-24 09:08:02.6711337,1,3,myTest.search1,gst
2017-05-24 09:08:06.7263656,1,4,myTest.search,code
2017-05-24 09:08:06.7263656,1,4,myTest.search1,code
2017-05-24 09:08:07.8214283,1,4,myTest.search,code
2017-05-24 09:08:07.8214283,1,4,myTest.search1,code
2017-05-24 09:08:08.8334862,1,4,myTest.search,code
2017-05-24 09:08:08.8334862,1,4,myTest.search1,code
2017-05-24 09:08:12.9807234,1,5,myTest.search,niagra
2017-05-24 09:08:12.9807234,1,5,myTest.search1,coal
2017-05-24 09:08:14.5668141,1,5,myTest.search,niagra
2017-05-24 09:08:14.5668141,1,5,myTest.search1,coal
2017-05-24 09:08:16.0538991,1,5,myTest.search,niagra
2017-05-24 09:08:16.0538991,1,5,myTest.search1,coal
2017-05-24 09:08:20.6921644,1,6,myTest.search,bookcenter
2017-05-24 09:08:20.6921644,1,6,myTest.search1,bc
2017-05-24 09:08:21.7952275,1,6,myTest.search,bookcenter
2017-05-24 09:08:21.7962276,1,6,myTest.search1,bc
2017-05-24 09:08:22.7872843,1,6,myTest.search,bookcenter
2017-05-24 09:08:22.7872843,1,6,myTest.search1,bc
2017-05-24 09:08:26.4814956,1,7,myTest.search,learngo
2017-05-24 09:08:26.4814956,1,7,myTest.search1,code
2017-05-24 09:08:27.5455564,1,7,myTest.search,learngo
2017-05-24 09:08:27.5455564,1,7,myTest.search1,code
2017-05-24 09:08:28.4616088,1,7,myTest.search,learngo
2017-05-24 09:08:28.4616088,1,7,myTest.search1,code
2017-05-24 09:08:32.3578317,1,8,myTest.search,learnc++
2017-05-24 09:08:32.3578317,1,8,myTest.search1,code
2017-05-24 09:08:33.8469168,1,8,myTest.search,learnc++
2017-05-24 09:08:33.8469168,1,8,myTest.search1,code
2017-05-24 09:08:35.2749985,1,8,myTest.search,learnc++
2017-05-24 09:08:35.2749985,1,8,myTest.search1,code
2017-05-24 09:08:39.5922455,1,9,myTest.search,mysql
