RequestedAt, User, Iteration, Parameter, Value
2017-05-24 16:26:09.2449142,1,1,myTest.search,books
2017-05-24 16:26:09.2449142,1,1,CurrentDate,2017-05-24 04:26:09
2017-05-24 16:26:10.3189160,2,1,myTest.search,c#code
2017-05-24 16:26:10.3189160,2,1,CurrentDate,2017-05-24 04:26:10
2017-05-24 16:26:12.4269205,3,1,myTest.search,gst
2017-05-24 16:26:12.4269205,3,1,CurrentDate,2017-05-24 04:26:12
2017-05-24 16:26:12.5369206,4,1,myTest.search,code
2017-05-24 16:26:12.5369206,4,1,CurrentDate,2017-05-24 04:26:12
2017-05-24 16:26:13.9529230,5,1,myTest.search,niagra
2017-05-24 16:26:13.9529230,5,1,CurrentDate,2017-05-24 04:26:13
2017-05-24 16:26:14.3029234,6,1,myTest.search,bookcenter
2017-05-24 16:26:14.3029234,6,1,CurrentDate,2017-05-24 04:26:14
2017-05-24 16:26:14.4339237,1,2,myTest.search,learngo
2017-05-24 16:26:14.4339237,1,2,CurrentDate,2017-05-24 04:26:14
2017-05-24 16:26:15.7139260,2,2,myTest.search,learnc++
2017-05-24 16:26:15.7139260,2,2,CurrentDate,2017-05-24 04:26:15
2017-05-24 16:26:15.9039263,7,1,myTest.search,mysql
2017-05-24 16:26:15.9039263,7,1,CurrentDate,2017-05-24 04:26:15
2017-05-24 16:26:16.6039273,8,1,myTest.search,mssql
2017-05-24 16:26:16.6039273,8,1,CurrentDate,2017-05-24 04:26:16
2017-05-24 16:26:17.3369285,3,2,myTest.search,java
2017-05-24 16:26:17.3369285,3,2,CurrentDate,2017-05-24 04:26:17
2017-05-24 16:26:17.8889294,4,2,myTest.search,newtron
2017-05-24 16:26:17.8889294,4,2,CurrentDate,2017-05-24 04:26:17
2017-05-24 16:26:18.4189301,9,1,myTest.search,books
2017-05-24 16:26:18.4189301,9,1,CurrentDate,2017-05-24 04:26:18
2017-05-24 16:26:19.1479322,10,1,myTest.search,c#code
2017-05-24 16:26:19.1479322,10,1,CurrentDate,2017-05-24 04:26:19
2017-05-24 16:26:19.4989327,6,2,myTest.search,gst
2017-05-24 16:26:19.5089327,6,2,CurrentDate,2017-05-24 04:26:19
2017-05-24 16:26:19.7404347,1,3,myTest.search,code
2017-05-24 16:26:19.7404347,1,3,CurrentDate,2017-05-24 04:26:19
2017-05-24 16:26:20.2004354,5,2,myTest.search,niagra
