loadgenname,scenariotime,usercount,hitcount,avgrequestresponse,avgthroughput,errorcount,avgpageresponse
'',00:00:05,0,61,290.802,3.493,0,17738.920
'',00:00:10,0,184,255.661,10.110,0,23520.825
'',00:00:15,0,258,310.973,14.822,0,40115.576
'',00:00:20,0,279,351.231,16.538,0,48996.724
'',00:00:25,0,284,396.365,15.811,0,56283.815
'',00:00:30,0,224,460.268,12.166,0,51550.053
'',00:00:35,0,193,689.668,11.318,0,66552.951
'',00:00:40,0,167,1424.301,8.228,0,118929.166
'',00:00:45,0,224,902.421,15.248,0,101071.206
'',00:00:50,0,171,891.846,9.895,0,76252.801
'',00:00:55,0,153,1262.546,10.851,0,96584.800
'',00:01:00,0,153,1357.955,7.245,0,103883.524
'',00:01:05,0,147,1801.000,12.198,0,132373.535
'',00:01:10,0,239,829.197,10.666,0,99088.990
'',00:01:15,0,149,468.958,3.832,0,34937.336
'',00:01:20,0,98,530.257,5.868,0,25982.602
'',00:01:25,0,102,535.014,7.586,0,27285.729
'',00:01:30,0,103,673.443,7.691,0,34682.333
'',00:01:35,0,96,581.754,5.548,0,27924.196
'',00:01:40,0,107,742.584,7.456,0,39728.270
'',00:01:45,0,82,679.156,7.384,0,55690.806
'',00:01:50,0,86,716.425,7.534,0,61612.562
'',00:01:55,0,128,970.177,9.909,0,62091.339
'',00:02:00,0,119,850.438,10.460,0,50601.059
'',00:02:05,0,102,597.279,4.480,0,30461.212
'',00:02:10,0,121,938.935,6.953,0,56805.573
'',00:02:15,0,106,865.818,3.494,0,45888.332
'',00:02:20,0,119,729.896,2.366,0,43428.813
'',00:02:25,0,99,546.534,1.840,0,27053.429
'',00:02:30,0,90,573.806,1.795,0,25821.283
'',00:02:35,0,133,575.522,2.587,0,38272.237
'',00:02:40,0,120,564.101,3.734,0,33846.051
'',00:02:45,0,177,749.309,7.722,0,66313.877
'',00:02:48,0,130,493.157,13.221,0,32055.224
