loadgenname,scenariotime,usercount,hitcount,avgrequestresponse,avgthroughput,errorcount,avgpageresponse
'',00:00:05,0,2,1632.071,0.315,0,3264.141
'',00:00:10,0,9,247.329,0.030,0,2225.965
'',00:00:15,0,0,0.000,0.000,0,0.000
'',00:00:20,0,0,0.000,0.000,0,0.000
'',00:00:25,0,0,0.000,0.000,0,0.000
'',00:00:30,0,0,0.000,0.000,0,0.000
'',00:00:35,0,0,0.000,0.000,0,0.000
'',00:00:40,0,0,0.000,0.000,0,0.000
'',00:00:45,0,0,0.000,0.000,0,0.000
'',00:00:50,0,1,40829.618,0.473,0,40829.618
'',00:00:55,0,0,0.000,0.000,0,0.000
'',00:01:00,0,0,0.000,0.000,0,0.000
'',00:01:05,0,0,0.000,0.000,0,0.000
'',00:01:10,0,2,24416.883,0.315,0,48833.766
'',00:01:13,0,9,344.389,0.503,0,1549.749
