RequestedAt, User, Iteration, Parameter, Value
2017-05-24 18:24:39.3319242,4,7,myTest.search,mysql
2017-05-24 18:24:39.3329242,4,7,CurrentDate,2017-05-24 06:24:39
2017-05-24 18:24:39.5389360,3,9,myTest.search,mssql
2017-05-24 18:24:39.5389360,3,9,CurrentDate,2017-05-24 06:24:39
2017-05-24 18:24:39.7469479,50,4,myTest.search,java
2017-05-24 18:24:39.7469479,50,4,CurrentDate,2017-05-24 06:24:39
2017-05-24 18:24:39.8799555,36,4,myTest.search,newtron
2017-05-24 18:24:39.8799555,36,4,CurrentDate,2017-05-24 06:24:39
2017-05-24 18:24:39.9159576,41,6,myTest.search,books
2017-05-24 18:24:39.9159576,41,6,CurrentDate,2017-05-24 06:24:39
2017-05-24 18:24:39.9399589,40,4,myTest.search,c#code
2017-05-24 18:24:39.9399589,40,4,CurrentDate,2017-05-24 06:24:39
2017-05-24 18:24:39.9809613,49,4,myTest.search,gst
2017-05-24 18:24:39.9809613,49,4,CurrentDate,2017-05-24 06:24:39
2017-05-24 18:24:40.0589657,19,6,myTest.search,code
2017-05-24 18:24:40.0589657,19,6,CurrentDate,2017-05-24 06:24:40
2017-05-24 18:24:40.2449764,1,8,myTest.search,niagra
2017-05-24 18:24:40.2449764,1,8,CurrentDate,2017-05-24 06:24:40
2017-05-24 18:24:40.2679777,17,6,myTest.search,bookcenter
2017-05-24 18:24:40.2689777,17,6,CurrentDate,2017-05-24 06:24:40
2017-05-24 18:24:40.3859844,27,3,myTest.search,learngo
2017-05-24 18:24:40.3869845,27,3,CurrentDate,2017-05-24 06:24:40
2017-05-24 18:24:40.4869902,20,4,myTest.search,learnc++
2017-05-24 18:24:40.4949907,32,4,myTest.search,mysql
2017-05-24 18:24:40.4959907,32,4,CurrentDate,2017-05-24 06:24:40
2017-05-24 18:24:40.4959907,20,4,CurrentDate,2017-05-24 06:24:40
2017-05-24 18:24:40.5399933,38,4,myTest.search,mssql
2017-05-24 18:24:40.5399933,38,4,CurrentDate,2017-05-24 06:24:40
2017-05-24 18:24:40.5749953,34,6,myTest.search,java
2017-05-24 18:24:40.5749953,34,6,CurrentDate,2017-05-24 06:24:40
2017-05-24 18:24:40.5969965,25,6,myTest.search,newtron
2017-05-24 18:24:40.5979966,25,6,CurrentDate,2017-05-24 06:24:40
2017-05-24 18:24:40.7490052,14,7,myTest.search,books
2017-05-24 18:24:40.7500053,14,7,CurrentDate,2017-05-24 06:24:40
2017-05-24 18:24:40.8440106,23,5,myTest.search,c#code
2017-05-24 18:24:40.8440106,23,5,CurrentDate,2017-05-24 06:24:40
2017-05-24 18:24:41.1210265,15,6,myTest.search,gst
2017-05-24 18:24:41.1220265,15,6,CurrentDate,2017-05-24 06:24:41
2017-05-24 18:24:41.1440278,47,3,myTest.search,code
2017-05-24 18:24:41.1450279,47,3,CurrentDate,2017-05-24 06:24:41
2017-05-24 18:24:41.2060313,26,5,myTest.search,niagra
2017-05-24 18:24:41.2070314,26,5,CurrentDate,2017-05-24 06:24:41
2017-05-24 18:24:41.2930363,42,4,myTest.search,bookcenter
2017-05-24 18:24:41.2940364,42,4,CurrentDate,2017-05-24 06:24:41
2017-05-24 18:24:41.3600402,49,4,myTest.search,learngo
2017-05-24 18:24:41.3600402,49,4,CurrentDate,2017-05-24 06:24:39
2017-05-24 18:24:41.4520454,39,4,myTest.search,learnc++
2017-05-24 18:24:41.4520454,39,4,CurrentDate,2017-05-24 06:24:37
2017-05-24 18:24:41.4520454,25,6,myTest.search,mysql
2017-05-24 18:24:41.4520454,25,6,CurrentDate,2017-05-24 06:24:40
2017-05-24 18:24:41.4800470,38,4,myTest.search,mssql
2017-05-24 18:24:41.4800470,38,4,CurrentDate,2017-05-24 06:24:40
2017-05-24 18:24:41.5090487,40,4,myTest.search,java
2017-05-24 18:24:41.5100487,40,4,CurrentDate,2017-05-24 06:24:39
2017-05-24 18:24:41.5150490,41,6,myTest.search,newtron
2017-05-24 18:24:41.5150490,41,6,CurrentDate,2017-05-24 06:24:39
2017-05-24 18:24:41.5210494,7,6,myTest.search,books
2017-05-24 18:24:41.5210494,7,6,CurrentDate,2017-05-24 06:24:41
2017-05-24 18:24:41.5380503,9,6,myTest.search,c#code
2017-05-24 18:24:41.5380503,9,6,CurrentDate,2017-05-24 06:24:41
2017-05-24 18:24:41.7540627,12,6,myTest.search,gst
2017-05-24 18:24:41.7540627,12,6,CurrentDate,2017-05-24 06:24:41
2017-05-24 18:24:41.7650633,11,8,myTest.search,code
2017-05-24 18:24:41.7650633,11,8,CurrentDate,2017-05-24 06:24:41
2017-05-24 18:24:41.7750639,21,6,myTest.search,niagra
2017-05-24 18:24:41.7750639,21,6,CurrentDate,2017-05-24 06:24:41
2017-05-24 18:24:41.9280726,13,8,myTest.search,bookcenter
2017-05-24 18:24:41.9280726,13,8,CurrentDate,2017-05-24 06:24:41
2017-05-24 18:24:42.0120774,43,4,myTest.search,learngo
2017-05-24 18:24:42.0120774,42,4,myTest.search,learnc++
2017-05-24 18:24:42.0120774,43,4,CurrentDate,2017-05-24 06:24:39
2017-05-24 18:24:42.0120774,42,4,CurrentDate,2017-05-24 06:24:41
2017-05-24 18:24:42.0210780,44,5,myTest.search,mysql
2017-05-24 18:24:42.0210780,44,5,CurrentDate,2017-05-24 06:24:38
2017-05-24 18:24:42.0860817,1,8,myTest.search,mssql
2017-05-24 18:24:42.0860817,1,8,CurrentDate,2017-05-24 06:24:40
2017-05-24 18:24:42.1080829,33,4,myTest.search,java
2017-05-24 18:24:42.1090830,33,4,CurrentDate,2017-05-24 06:24:42
2017-05-24 18:24:42.4050999,45,4,myTest.search,newtron
2017-05-24 18:24:42.4050999,45,4,CurrentDate,2017-05-24 06:24:42
2017-05-24 18:24:42.4241010,24,6,myTest.search,books
2017-05-24 18:24:42.4241010,24,6,CurrentDate,2017-05-24 06:24:42
2017-05-24 18:24:42.7871218,26,5,myTest.search,c#code
2017-05-24 18:24:42.7871218,26,5,CurrentDate,2017-05-24 06:24:41
2017-05-24 18:24:42.8101231,28,6,myTest.search,gst
2017-05-24 18:24:42.8101231,28,6,CurrentDate,2017-05-24 06:24:38
2017-05-24 18:24:42.8411249,29,4,myTest.search,code
2017-05-24 18:24:42.8411249,29,4,CurrentDate,2017-05-24 06:24:36
2017-05-24 18:24:42.8421249,27,3,myTest.search,niagra
2017-05-24 18:24:42.8421249,27,3,CurrentDate,2017-05-24 06:24:40
2017-05-24 18:24:42.8611260,30,4,myTest.search,bookcenter
2017-05-24 18:24:42.8611260,30,4,CurrentDate,2017-05-24 06:24:36
2017-05-24 18:24:42.8721266,32,4,myTest.search,learngo
2017-05-24 18:24:42.8721266,32,4,CurrentDate,2017-05-24 06:24:40
2017-05-24 18:24:42.8721266,31,3,myTest.search,learnc++
2017-05-24 18:24:42.8731267,31,3,CurrentDate,2017-05-24 06:24:37
2017-05-24 18:24:43.0181350,13,8,myTest.search,mysql
2017-05-24 18:24:43.0181350,13,8,CurrentDate,2017-05-24 06:24:41
2017-05-24 18:24:43.0891391,14,7,myTest.search,mssql
2017-05-24 18:24:43.0891391,14,7,CurrentDate,2017-05-24 06:24:40
2017-05-24 18:24:43.1271412,17,6,myTest.search,java
