RequestedAt, User, Iteration, Parameter, Value
2017-05-24 08:56:28.5034296,1,16,myTest.search1,code
2017-05-24 08:56:29.5514895,1,16,myTest.search,code
2017-05-24 08:56:29.5514895,1,16,myTest.search1,code
2017-05-24 08:56:30.4995437,1,16,myTest.search,code
2017-05-24 08:56:30.4995437,1,16,myTest.search1,code
2017-05-24 08:56:34.3147620,1,17,myTest.search,niagra
2017-05-24 08:56:34.3147620,1,17,myTest.search1,coal
2017-05-24 08:56:35.8538500,1,17,myTest.search,niagra
2017-05-24 08:56:35.8538500,1,17,myTest.search1,coal
2017-05-24 08:56:37.2829317,1,17,myTest.search,niagra
2017-05-24 08:56:37.2829317,1,17,myTest.search1,coal
2017-05-24 08:56:41.9121965,1,18,myTest.search,bookcenter
2017-05-24 08:56:41.9121965,1,18,myTest.search1,bc
2017-05-24 08:56:42.7852464,1,18,myTest.search,bookcenter
2017-05-24 08:56:42.7852464,1,18,myTest.search1,bc
2017-05-24 08:56:43.7303005,1,18,myTest.search,bookcenter
2017-05-24 08:56:43.7303005,1,18,myTest.search1,bc
2017-05-24 08:56:47.3245061,1,19,myTest.search,learngo
2017-05-24 08:56:47.3245061,1,19,myTest.search1,code
2017-05-24 08:56:48.1005505,1,19,myTest.search,learngo
2017-05-24 08:56:48.1005505,1,19,myTest.search1,code
2017-05-24 08:56:48.9686001,1,19,myTest.search,learngo
2017-05-24 08:56:48.9686001,1,19,myTest.search1,code
2017-05-24 08:56:52.7658173,1,20,myTest.search,learnc++
2017-05-24 08:56:52.7658173,1,20,myTest.search1,code
2017-05-24 08:56:53.6548682,1,20,myTest.search,learnc++
2017-05-24 08:56:53.6548682,1,20,myTest.search1,code
2017-05-24 08:56:54.5479192,1,20,myTest.search,learnc++
2017-05-24 08:56:54.5479192,1,20,myTest.search1,code
2017-05-24 08:56:58.0761210,1,21,myTest.search,mysql
2017-05-24 08:56:58.0761210,1,21,myTest.search1,code
2017-05-24 08:56:59.1241810,1,21,myTest.search,mysql
2017-05-24 08:56:59.1241810,1,21,myTest.search1,code
2017-05-24 08:57:00.1692408,1,21,myTest.search,mysql
2017-05-24 08:57:00.1692408,1,21,myTest.search1,code
2017-05-24 08:57:04.4264843,1,22,myTest.search,mssql
2017-05-24 08:57:04.4264843,1,22,myTest.search1,code
2017-05-24 08:57:05.3495370,1,22,myTest.search,mssql
2017-05-24 08:57:05.3495370,1,22,myTest.search1,code
2017-05-24 08:57:06.3885965,1,22,myTest.search,mssql
2017-05-24 08:57:06.3885965,1,22,myTest.search1,code
2017-05-24 08:57:10.4318277,1,23,myTest.search,java
2017-05-24 08:57:10.4328278,1,23,myTest.search1,code
2017-05-24 08:57:11.8189071,1,23,myTest.search,java
2017-05-24 08:57:11.8189071,1,23,myTest.search1,code
2017-05-24 08:57:12.8749675,1,23,myTest.search,java
2017-05-24 08:57:12.8749675,1,23,myTest.search1,code
2017-05-24 08:57:17.1412115,1,24,myTest.search,newtron
2017-05-24 08:57:17.1412115,1,24,myTest.search1,code
2017-05-24 08:57:18.1302681,1,24,myTest.search,newtron
2017-05-24 08:57:18.1302681,1,24,myTest.search1,code
2017-05-24 08:57:19.0733220,1,24,myTest.search,newtron
2017-05-24 08:57:19.0733220,1,24,myTest.search1,code
2017-05-24 08:57:22.9375430,1,25,myTest.search,books
2017-05-24 08:57:22.9375430,1,25,myTest.search1,book
2017-05-24 08:57:24.0416062,1,25,myTest.search,books
2017-05-24 08:57:24.0416062,1,25,myTest.search1,book
2017-05-24 08:57:25.1546698,1,25,myTest.search,books
2017-05-24 08:57:25.1546698,1,25,myTest.search1,book
2017-05-24 08:57:28.9608875,1,26,myTest.search,c#code
2017-05-24 08:57:28.9608875,1,26,myTest.search1,learngo
2017-05-24 08:57:30.3419665,1,26,myTest.search,c#code
2017-05-24 08:57:30.3419665,1,26,myTest.search1,learngo
2017-05-24 08:57:31.6790430,1,26,myTest.search,c#code
2017-05-24 08:57:31.6790430,1,26,myTest.search1,learngo
2017-05-24 08:57:36.2583049,1,27,myTest.search,gst
2017-05-24 08:57:36.2583049,1,27,myTest.search1,gst
2017-05-24 08:57:37.6413840,1,27,myTest.search,gst
2017-05-24 08:57:37.6413840,1,27,myTest.search1,gst
2017-05-24 08:58:20.6048414,1,27,myTest.search,gst
2017-05-24 08:58:20.6048414,1,27,myTest.search1,gst
2017-05-24 08:59:46.1687354,1,28,myTest.search,code
2017-05-24 08:59:46.1687354,1,28,myTest.search1,code
2017-05-24 08:59:47.3848049,1,28,myTest.search,code
2017-05-24 08:59:47.3848049,1,28,myTest.search1,code
2017-05-24 08:59:48.5138695,1,28,myTest.search,code
2017-05-24 08:59:48.5138695,1,28,myTest.search1,code
