loadgenname,scenariotime,usercount,hitcount,avgrequestresponse,avgthroughput,errorcount,avgpageresponse
'',00:00:05,0,39,131.150,0.835,0,730.691
'',00:00:10,0,40,275.917,0.832,0,1576.666
'',00:00:15,0,56,245.525,1.283,0,1964.203
'',00:00:20,0,28,268.027,0.434,0,1072.108
'',00:00:25,0,19,1030.229,0.337,0,3262.391
'',00:00:30,0,11,2013.874,0.118,0,3692.102
'',00:00:35,0,48,2029.992,0.783,0,16239.934
'',00:00:40,0,46,1243.840,0.779,0,8173.803
'',00:00:45,0,12,4277.596,0.533,0,12832.789
'',00:00:50,0,13,3367.055,0.093,0,10942.929
'',00:00:55,0,55,5418.080,1.128,0,42570.631
'',00:01:00,0,25,3048.797,0.925,0,12703.319
'',00:01:05,0,44,3548.126,0.959,0,26019.591
'',00:01:10,0,16,9422.211,0.020,0,50251.792
'',00:01:15,0,52,3715.920,0.119,0,38645.566
'',00:01:20,0,10,3948.751,0.004,0,19743.756
'',00:01:25,0,16,6282.135,0.031,0,25128.540
'',00:01:30,0,31,6469.178,0.226,0,40108.903
'',00:01:35,0,33,912.138,0.243,0,5016.761
'',00:01:40,0,2,23488.177,0.000,0,23488.177
'',00:01:45,0,0,0.000,0.000,0,0.000
'',00:01:50,0,0,0.000,0.000,0,0.000
'',00:01:55,0,1,21502.940,0.000,0,21502.940
'',00:02:00,0,1,21002.418,0.000,0,21002.418
'',00:02:05,0,0,0.000,0.000,0,0.000
'',00:02:10,0,0,0.000,0.000,0,0.000
'',00:02:15,0,22,43620.901,0.000,0,191931.965
'',00:02:20,0,11,42992.173,0.000,0,236456.952
'',00:02:25,0,8,42005.622,0.000,0,336044.978
'',00:02:30,0,183,4564.886,3.060,0,119339.168
'',00:02:35,0,112,5106.787,1.946,0,81708.590
'',00:02:40,0,22,11741.829,0.189,0,36902.891
'',00:02:45,0,17,8997.310,0.203,0,21850.610
'',00:02:50,0,1,35106.244,0.000,0,35106.244
'',00:02:55,0,0,0.000,0.000,0,0.000
'',00:03:00,0,0,0.000,0.000,0,0.000
'',00:03:05,0,0,0.000,0.000,0,0.000
'',00:03:08,0,36,58712.501,0.025,0,1056825.021
